
1603,Exit long,2025-01-02 12:10:00,,,,,
1603,Entry long,2025-01-01 14:30:00,,,,,
1604,Exit short,2025-01-06 09:15:00,,,,,
1604,Entry short,2025-01-03 11:00:00,,,,,
1605,Exit short,2025-01-06 10:25:00,,,,,
1605,Entry short,2025-01-06 10:25:00,,,,,
1606,Exit short,2025-01-09 15:05:00,,,,,
1606,Entry short,2025-01-08 11:00:00,,,,,
1607,Exit short,2025-01-13 09:15:00,,,,,
1607,Entry short,2025-01-10 13:55:00,,,,,
1608,Exit short,2025-01-13 12:45:00,,,,,
1608,Entry short,2025-01-13 11:00:00,,,,,
1609,Exit long,2025-01-16 09:15:00,,,,,
1609,Entry long,2025-01-14 11:00:00,,,,,
1610,Exit short,2025-01-20 13:20:00,,,,,
1610,Entry short,2025-01-16 12:10:00,,,,,
1611,Exit long,2025-01-21 09:50:00,,,,,
1611,Entry long,2025-01-20 13:20:00,,,,,
1612,Exit short,2025-01-21 15:05:00,,,,,
1612,Entry short,2025-01-21 10:25:00,,,,,
1613,Exit short,2025-01-23 09:15:00,,,,,
1613,Entry short,2025-01-22 11:35:00,,,,,
1614,Exit long,2025-01-24 09:50:00,,,,,
1614,Entry long,2025-01-23 10:25:00,,,,,
1615,Exit short,2025-01-24 11:35:00,,,,,
1615,Entry short,2025-01-24 10:25:00,,,,,
1616,Exit short,2025-01-24 14:30:00,,,,,
1616,Entry short,2025-01-24 12:45:00,,,,,
1617,Exit short,2025-01-28 09:15:00,,,,,
1617,Entry short,2025-01-27 10:25:00,,,,,
1618,Exit short,2025-01-28 12:10:00,,,,,
1618,Entry short,2025-01-28 10:25:00,,,,,
1619,Exit long,2025-01-30 09:15:00,,,,,
1619,Entry long,2025-01-29 10:25:00,,,,,
1620,Exit short,2025-01-31 09:15:00,,,,,
1620,Entry short,2025-01-30 13:55:00,,,,,
1621,Exit long,2025-02-01 09:15:00,,,,,
1621,Entry long,2025-01-31 11:00:00,,,,,
1622,Exit short,2025-02-01 12:45:00,,,,,
1622,Entry short,2025-02-01 12:10:00,,,,,
1623,Exit short,2025-02-05 09:15:00,,,,,
1623,Entry short,2025-02-04 11:00:00,,,,,
1624,Exit short,2025-02-07 09:15:00,,,,,
1624,Entry short,2025-02-06 12:10:00,,,,,
1625,Exit short,2025-02-07 10:25:00,,,,,
1625,Entry short,2025-02-07 10:25:00,,,,,
1626,Exit long,2025-02-07 13:55:00,,,,,
1626,Entry long,2025-02-07 11:35:00,,,,,
1627,Exit short,2025-02-11 09:15:00,,,,,
1627,Entry short,2025-02-10 10:25:00,,,,,
1628,Exit short,2025-02-11 12:45:00,,,,,
1628,Entry short,2025-02-11 10:25:00,,,,,
1629,Exit short,2025-02-12 10:25:00,,,,,
1629,Entry short,2025-02-12 10:25:00,,,,,
1630,Exit long,2025-02-14 09:50:00,,,,,
1630,Entry long,2025-02-12 13:20:00,,,,,
1631,Exit short,2025-02-14 11:00:00,,,,,
1631,Entry short,2025-02-14 10:25:00,,,,,
1632,Exit long,2025-02-19 09:50:00,,,,,
1632,Entry long,2025-02-17 14:30:00,,,,,
1633,Exit long,2025-02-20 14:30:00,,,,,
1633,Entry long,2025-02-19 10:25:00,,,,,
1634,Exit short,2025-02-24 09:15:00,,,,,
1634,Entry short,2025-02-21 10:25:00,,,,,
1635,Exit long,2025-02-27 09:15:00,,,,,
1635,Entry long,2025-02-24 11:35:00,,,,,
1636,Exit short,2025-02-27 11:00:00,,,,,
1636,Entry short,2025-02-27 09:15:00,,,,,
1637,Exit short,2025-03-03 09:50:00,,,,,
1637,Entry short,2025-02-28 12:10:00,,,,,
1638,Exit short,2025-03-03 12:45:00,,,,,
1638,Entry short,2025-03-03 10:25:00,,,,,
1639,Exit long,2025-03-05 09:15:00,,,,,
1639,Entry long,2025-03-04 10:25:00,,,,,
1640,Exit long,2025-03-06 09:15:00,,,,,
1640,Entry long,2025-03-05 11:00:00,,,,,
1641,Exit long,2025-03-07 12:10:00,,,,,
1641,Entry long,2025-03-07 11:35:00,,,,,
1642,Exit short,2025-03-10 13:55:00,,,,,
1642,Entry short,2025-03-10 12:10:00,,,,,
1643,Exit long,2025-03-11 15:05:00,,,,,
1643,Entry long,2025-03-11 10:25:00,,,,,
1644,Exit short,2025-03-18 09:15:00,,,,,
1644,Entry short,2025-03-12 10:25:00,,,,,
